TransactionID,Date,AccountID,Amount,Category,Merchant,PaymentMethod,Location,Currency,Notes,IsFraud,CreatedAt
1,2020-01-01 00:00:00,1102,2904.07475882988,Salary,Store C,Debit Card,City B,USD,,0,2020-01-01 00:00:00
2,2020-01-01 00:01:00,1435,-3062.610669751894,Utilities,Store C,Credit Card,City D,USD,Gift,0,2020-01-01 00:01:00
3,2020-01-01 00:02:00,1860,-2382.4713096297633,Groceries,Store B,Credit Card,City B,GBP,Payment for service,0,2020-01-01 00:02:00
4,2020-01-01 00:03:00,1270,,Utilities,Store D,Credit Card,City C,EUR,Refund,0,2020-01-01 00:03:00
5,2020-01-01 00:04:00,1106,-1693.9919002999814,Rent,Store D,Credit Card,City C,EUR,Gift,0,2020-01-01 00:04:00
6,2020-01-01 00:05:00,1071,3605.1148658744496,Rent,Store C,Credit Card,City D,USD,Gift,0,2020-01-01 00:05:00
7,2020-01-01 00:06:00,1700,-262.39846261279763,Groceries,Store B,Credit Card,City C,GBP,,0,2020-01-01 00:06:00
8,2020-01-01 00:07:00,1020,2995.78644102003,Utilities,Store D,Credit Card,City D,EUR,,0,2020-01-01 00:07:00
9,2020-01-01 00:08:00,1614,806.1976048235374,Utilities,Store D,Debit Card,City C,GBP,Payment for service,0,2020-01-01 00:08:00
10,2020-01-01 00:09:00,1121,2730.90141617112,Groceries,Store D,Credit Card,City A,GBP,Gift,0,2020-01-01 00:09:00
11,2020-01-01 00:10:00,1466,-1673.2701346967615,Salary,Store C,Debit Card,City C,EUR,Payment for service,0,2020-01-01 00:10:00
12,2020-01-01 00:11:00,1214,3314.1662193031116,Entertainment,Store B,Debit Card,City C,USD,Refund,1,2020-01-01 00:11:00
13,2020-01-01 00:12:00,1330,-2254.2768444897843,Salary,Store C,Credit Card,City A,USD,,0,2020-01-01 00:12:00
14,2020-01-01 00:13:00,1458,460.98808003290833,Entertainment,Store B,Debit Card,City C,USD,Gift,0,2020-01-01 00:13:00
15,2020-01-01 00:14:00,1087,-2859.928868261258,Utilities,Store A,Debit Card,City C,GBP,Refund,0,2020-01-01 00:14:00
16,2020-01-01 00:15:00,1372,-244.73478373806665,Entertainment,Store B,Credit Card,City C,USD,Gift,0,2020-01-01 00:15:00
17,2020-01-01 00:16:00,1099,-1818.2479049129684,Entertainment,Store B,Debit Card,City B,USD,Refund,0,2020-01-01 00:16:00
18,2020-01-01 00:17:00,1871,-2332.9656936278575,Utilities,Store C,Debit Card,City A,EUR,,0,2020-01-01 00:17:00
19,2020-01-01 00:18:00,1663,4669.850180280375,Rent,,Cash,City C,GBP,Refund,0,2020-01-01 00:18:00
20,2020-01-01 00:19:00,1130,-3399.258945132694,Entertainment,Store A,Cash,City D,GBP,,0,2020-01-01 00:19:00
21,2020-01-01 00:20:00,1661,2873.258374573953,Groceries,Store C,Credit Card,City D,GBP,,0,2020-01-01 00:20:00
22,2020-01-01 00:21:00,1308,4841.64959483215,Salary,Store B,Credit Card,City D,GBP,,0,2020-01-01 00:21:00
23,2020-01-01 00:22:00,1769,-4800.985162599221,Utilities,Store D,Credit Card,City A,GBP,Payment for service,0,2020-01-01 00:22:00
24,2020-01-01 00:23:00,1343,1990.27414042095,,Store C,Credit Card,City D,USD,Refund,0,2020-01-01 00:23:00
25,2020-01-01 00:24:00,1491,-2470.881944437129,Entertainment,Store D,Credit Card,City C,EUR,,1,2020-01-01 00:24:00
26,2020-01-01 00:25:00,1413,-4595.121756716955,Rent,Store D,Cash,City B,GBP,Gift,0,2020-01-01 00:25:00
27,2020-01-01 00:26:00,1805,-971.1042104336921,,Store D,Cash,City C,USD,Refund,0,2020-01-01 00:26:00
28,2020-01-01 00:27:00,1385,4352.178101708751,Salary,Store C,Debit Card,City C,USD,Refund,0,2020-01-01 00:27:00
29,2020-01-01 00:28:00,1191,,Salary,Store B,Cash,City D,EUR,,0,2020-01-01 00:28:00
30,2020-01-01 00:29:00,1955,878.8569192978166,Rent,Store D,Credit Card,City D,USD,,0,2020-01-01 00:29:00
31,2020-01-01 00:30:00,1276,,Rent,Store A,Cash,City B,GBP,Refund,0,2020-01-01 00:30:00
32,2020-01-01 00:31:00,1160,3733.841643710475,Rent,Store C,Debit Card,City B,USD,Refund,0,2020-01-01 00:31:00
33,2020-01-01 00:32:00,1459,,Entertainment,Store D,Credit Card,City A,GBP,Payment for service,0,2020-01-01 00:32:00
34,2020-01-01 00:33:00,1313,1815.260298866503,Groceries,Store D,Credit Card,City D,EUR,Gift,0,2020-01-01 00:33:00
35,2020-01-01 00:34:00,1021,,Salary,Store C,Debit Card,City A,EUR,Payment for service,0,2020-01-01 00:34:00
36,2020-01-01 00:35:00,1252,1690.8001686228326,Utilities,Store B,Cash,City D,EUR,Payment for service,0,2020-01-01 00:35:00
37,2020-01-01 00:36:00,1747,4423.34494935037,Rent,Store A,Debit Card,City C,USD,Gift,0,2020-01-01 00:36:00
38,2020-01-01 00:37:00,1856,3230.875290068805,,Store D,Credit Card,City D,USD,,0,2020-01-01 00:37:00
39,2020-01-01 00:38:00,1560,-4580.27273756494,Groceries,Store A,Credit Card,City C,USD,Gift,0,2020-01-01 00:38:00
40,2020-01-01 00:39:00,1474,-289.171492954868,Rent,Store C,Cash,City D,USD,,0,2020-01-01 00:39:00
41,2020-01-01 00:40:00,1058,-1020.4694379866651,Salary,Store B,Debit Card,City B,EUR,Refund,0,2020-01-01 00:40:00
42,2020-01-01 00:41:00,1510,-1898.5277890919792,Rent,Store C,Cash,City D,EUR,Payment for service,0,2020-01-01 00:41:00
43,2020-01-01 00:42:00,1681,-486.6327484590274,Groceries,Store B,Credit Card,City C,EUR,Refund,0,2020-01-01 00:42:00
44,2020-01-01 00:43:00,1475,-1158.0581507402253,,Store D,Debit Card,City A,GBP,Payment for service,0,2020-01-01 00:43:00
45,2020-01-01 00:44:00,1699,-676.6610012133469,Salary,,Debit Card,City B,GBP,,0,2020-01-01 00:44:00
46,2020-01-01 00:45:00,1975,4792.618656086424,Entertainment,Store D,Cash,City B,GBP,Payment for service,0,2020-01-01 00:45:00
47,2020-01-01 00:46:00,1782,-4113.670252504193,Utilities,Store B,Credit Card,City B,USD,Payment for service,0,2020-01-01 00:46:00
48,2020-01-01 00:47:00,1189,4222.308698387298,Groceries,Store C,Debit Card,City C,GBP,Payment for service,0,2020-01-01 00:47:00
49,2020-01-01 00:48:00,1957,-197.63286528973276,,Store D,Cash,City D,EUR,,0,2020-01-01 00:48:00
50,2020-01-01 00:49:00,1686,1237.4224549954115,,Store B,Credit Card,City D,USD,,0,2020-01-01 00:49:00
51,2020-01-01 00:50:00,1957,3301.829666176938,Utilities,Store D,Credit Card,City A,USD,,0,2020-01-01 00:50:00
52,2020-01-01 00:51:00,1562,-1395.3697085074446,Utilities,Store C,Credit Card,City B,GBP,Gift,0,2020-01-01 00:51:00
53,2020-01-01 00:52:00,1875,-695.7809191203314,Groceries,Store A,Cash,City A,USD,Gift,0,2020-01-01 00:52:00
54,2020-01-01 00:53:00,1566,-904.8151972128603,,Store A,Credit Card,City B,USD,,0,2020-01-01 00:53:00
55,2020-01-01 00:54:00,1243,-1252.6897746424015,Rent,Store C,Cash,City B,GBP,Gift,0,2020-01-01 00:54:00
